Sim Name,age_effect,initial_effect,final_effect,mort_effect,prod_effect,fert_effect,pop_diffs_2045_2065,pop_diffs_2026_2100,pop_diffs_2050,total_pop_diff_2050,avg_diff,avg_gdp_pc_diff,discount_rate,NPV,"QALY 20, $B","QALY NPV, $T"
"Brain Aging, plus 20%",40,10,20,0.12,0.42,0.0,7.872509412903251,27.325526902285464,0.32194562182868935,0.32196523989426123,245.88979287417843,623.7228536905923,0.01,19.48026491187793,63.81532508913532,2.7026380295210197
"Brain Aging, plus 20%",40,10,20,0.12,0.42,0.0,7.872509412903251,27.325526902285464,0.32194562182868935,0.32196523989426123,245.88979287417843,623.7228536905923,0.02,10.766782110253862,63.81532508913532,1.7175468694044382
"Brain Aging, plus 20%",40,10,20,0.12,0.42,0.0,7.872509412903251,27.325526902285464,0.32194562182868935,0.32196523989426123,245.88979287417843,623.7228536905923,0.03,6.302825626023741,63.81532508913532,1.12126707366683
"Brain Aging, plus 20%",40,10,20,0.12,0.42,0.0,7.872509412903251,27.325526902285464,0.32194562182868935,0.32196523989426123,245.88979287417843,623.7228536905923,0.035,4.920815181205726,63.81532508913532,0.9147588816808212
"Brain Aging, plus 20%",40,10,20,0.12,0.42,0.0,7.872509412903251,27.325526902285464,0.32194562182868935,0.32196523989426123,245.88979287417843,623.7228536905923,0.04,3.8899404614437048,63.81532508913532,0.7509032848379626
"Brain Aging, plus 20%",40,10,20,0.12,0.42,0.0,7.872509412903251,27.325526902285464,0.32194562182868935,0.32196523989426123,245.88979287417843,623.7228536905923,0.05,2.514051090222492,63.81532508913532,0.5149650712340252
"Brain Aging, plus 20%",40,10,20,0.12,0.42,0.0,7.872509412903251,27.325526902285464,0.32194562182868935,0.32196523989426123,245.88979287417843,623.7228536905923,0.06,1.6884508817979544,63.81532508913532,0.3609484845082969
"Brain Aging, minus 20%",40,10,20,0.8,0.28,0.0,54.0765810668208,188.62498762364152,2.1955552072568363,2.1956860041464696,385.41257500140597,-232.44531138519164,0.01,35.1464551528171,438.47840936505963,18.640841550044975
"Brain Aging, minus 20%",40,10,20,0.8,0.28,0.0,54.0765810668208,188.62498762364152,2.1955552072568363,2.1956860041464696,385.41257500140597,-232.44531138519164,0.02,18.91361086843613,438.47840936505963,11.83595133728693
"Brain Aging, minus 20%",40,10,20,0.8,0.28,0.0,54.0765810668208,188.62498762364152,2.1955552072568363,2.1956860041464696,385.41257500140597,-232.44531138519164,0.03,10.71958177199308,438.47840936505963,7.719611802733729
"Brain Aging, minus 20%",40,10,20,0.8,0.28,0.0,54.0765810668208,188.62498762364152,2.1955552072568363,2.1956860041464696,385.41257500140597,-232.44531138519164,0.035,8.219503475173255,438.47840936505963,6.294800454703357
"Brain Aging, minus 20%",40,10,20,0.8,0.28,0.0,54.0765810668208,188.62498762364152,2.1955552072568363,2.1956860041464696,385.41257500140597,-232.44531138519164,0.04,6.374549895562935,438.47840936505963,5.164698500882039
"Brain Aging, minus 20%",40,10,20,0.8,0.28,0.0,54.0765810668208,188.62498762364152,2.1955552072568363,2.1956860041464696,385.41257500140597,-232.44531138519164,0.05,3.954456202961076,438.47840936505963,3.538376015165804
"Brain Aging, minus 20%",40,10,20,0.8,0.28,0.0,54.0765810668208,188.62498762364152,2.1955552072568363,2.1956860041464696,385.41257500140597,-232.44531138519164,0.06,2.541544656656451,438.47840936505963,2.4776189108951794
"Ovarian Aging v2, plus 20%",40,10,20,0.012,0.06,0.6,1.4218713075149527,48.70156165217179,0.03208043334072221,0.46964335153507214,14.598610466897455,6.226297735247672,0.01,24.875618725519708,129.0065111380479,10.561225665956771
"Ovarian Aging v2, plus 20%",40,10,20,0.012,0.06,0.6,1.4218713075149527,48.70156165217179,0.03208043334072221,0.46964335153507214,14.598610466897455,6.226297735247672,0.02,11.168782419307284,129.0065111380479,6.200203063725568
"Ovarian Aging v2, plus 20%",40,10,20,0.012,0.06,0.6,1.4218713075149527,48.70156165217179,0.03208043334072221,0.46964335153507214,14.598610466897455,6.226297735247672,0.03,5.165910776951983,129.0065111380479,3.733215894158334
"Ovarian Aging v2, plus 20%",40,10,20,0.012,0.06,0.6,1.4218713075149527,48.70156165217179,0.03208043334072221,0.46964335153507214,14.598610466897455,6.226297735247672,0.035,3.5541667148350222,129.0065111380479,2.9248563548175257
"Ovarian Aging v2, plus 20%",40,10,20,0.012,0.06,0.6,1.4218713075149527,48.70156165217179,0.03208043334072221,0.46964335153507214,14.598610466897455,6.226297735247672,0.04,2.4644995109314847,129.0065111380479,2.30635168026874
"Ovarian Aging v2, plus 20%",40,10,20,0.012,0.06,0.6,1.4218713075149527,48.70156165217179,0.03208043334072221,0.46964335153507214,14.598610466897455,6.226297735247672,0.05,1.2130078152090433,129.0065111380479,1.4619254820604302
"Ovarian Aging v2, plus 20%",40,10,20,0.012,0.06,0.6,1.4218713075149527,48.70156165217179,0.03208043334072221,0.46964335153507214,14.598610466897455,6.226297735247672,0.06,0.6150943684292589,129.0065111380479,0.9503344390391183
"Ovarian Aging v2, minus 20%",40,10,20,0.008,0.04,0.4,0.9478247539945482,32.46729704531974,0.021384148557853914,0.3130926086318651,3.5451992191159576,-16.704121299715812,0.01,16.45390320022733,86.00355534905778,7.0394105945248
"Ovarian Aging v2, minus 20%",40,10,20,0.008,0.04,0.4,0.9478247539945482,32.46729704531974,0.021384148557853914,0.3130926086318651,3.5451992191159576,-16.704121299715812,0.02,7.353380360687611,86.00355534905778,4.132751030923665
